,斷詞,次數
0,買,10
1,賣,8
2,深圳,7
3,188,6
4,要,5
5,三間,4
6,到,4
7,萬,4
8,用,4
9,大量,3
10,最近,3
11,香港,3
12,中國,3
13,區域,3
14,城市,3
15,還是,3
16,跌,3
17,現在,3
18,最高,3
19,吧,2
20,樓盤,2
21,企,2
22,廈門,2
23,是否,2
24,房價,2
25,以前,2
26,RMB,2
27,一二,2
28,得,2
29,不會,2
30,深圳市,2
31,沒,2
32,房子,2
33,排水,2
34,附近,2
35,套房,2
36,跑,2
37,區,2
38,外,2
39,所以,2
40,住,2
41,XD,2
42,淹水,2
43,大,2
44,疫情,2
45,差不多,2
46,看成,2
47,看,2
48,拍,2
49,人民,2
50,一堆,2
51,小雨,1
52,裡面,1
53,稅中國,1
54,買家,1
55,紛紛,1
56,赴,1
57,置業,1
58,多大間,1
59,牆國,1
60,其他,1
61,搶,1
62,錢,1
63,外商,1
64,大雨,1
65,產業,1
66,出走,1
67,地方,1
68,基本上,1
69,沒戲,1
70,台幣,1
71,經島,1
72,飛機途,1
73,有夠,1
74,貴買,1
75,會不會,1
76,外面,1
77,印花,1
78,內,1
79,取消,1
80,YTer,1
81,1,1
82,層樓,1
83,工資低,1
84,反正,1
85,超難,1
86,點,1
87,先前,1
88,還好,1
89,一間,1
90,考慮,1
91,根本,1
92,折,1
93,房市,1
94,七八,1
95,北上,1
96,廣深,1
97,基本面,1
98,最差,1
99,小島,1
100,看到,1
101,排,1
102,宜居城市,1
103,真的,1
104,324,1
105,之,1
106,同事,1
107,套,1
108,虧,1
109,安慰,1
110,外圍,1
111,只能,1
112,關內,1
113,幾乎,1
114,認識,1
115,中國人,1
116,堅信,1
117,一線,1
118,抗跌,1
119,房現,1
120,半,1
121,不少,1
122,這幾年,1
123,廈門島,1
124,漳州,1
125,台商,1
126,投資區,1
127,砍,1
128,萬達,1
129,三房,1
130,不到,1
131,一百,1
132,已經,1
133,幣,1
134,前買現,1
135,惠州,1
136,惹,1
137,房價物價,1
138,唯一,1
139,薪水,1
140,一直,1
141,下,1
142,闆,1
143,降,1
144,老,1
145,期間,1
146,任何,1
147,東西,1
148,保值,1
149,阿有,1
150,中國現,1
151,漲價,1
152,自己,1
153,只有,1
154,呵呵,1
155,黃,1
156,金,1
157,廣東,1
158,自住,1
159,沒有,1
160,股點,1
161,這篇,1
162,ken,1
163,跳出,1
164,反駁,1
165,通縮,1
166,中心,1
167,好爽,1
168,叫,1
169,往,1
170,再起,1
171,除非,1
172,偏,1
173,社區,1
174,不然,1
175,寧願,1
176,上海,1
177,北京,1
178,同樣,1
179,跌會,1
180,保險,1
181,一點,1
182,房仲再,1
183,就要,1
184,殺個,1
185,20,1
186,二,1
187,手法,1
188,+,1
189,手成,1
190,屋求,1
191,成交量,1
192,仍,1
193,擠,1
194,牙膏,1
195,房率,1
196,90,1
197,評估,1
198,撤離,1
199,httpsyoutubezOUrNcaolg,1
200,港,1
201,跳樓,1
202,不過,1
203,房看,1
204,資料,1
205,平均,1
206,一,1
207,平方公尺,1
208,6,1
209,萬多,1
210,幣很貴,1
211,還以,1
212,加起,1
213,早就,1
214,仔,1
215,外資台,1
216,炒,1
217,正常,1
218,目前,1
219,看似,1
220,止跌,1
221,買房,1
222,耐住,1
223,度及,1
224,未來性,1
225,老人,1
226,退休,1
227,過去,1
228,自從,1
229,多層,1
230,電梯,1
231,小高到,1
232,親戚,1
233,製,1
234,造,1
235,業,1
236,繁,1
237,榮,1
238,域,1
239,特,1
240,別,1
241,資,1
242,台,1
243,搬走,1
244,不見,1
245,回去,1
246,聊要,1
247,不了,1
248,掉,1
249,高鐵,1
250,聽,1
251,有人,1
252,超過,1
253,2000,1
254,房仲說,1
255,實收,1
256,1600,1
257,httpswwwyoutubecomwatchvvlltz33mHpI,1
258,話,1
259,應該,1
260,不良,1
261,靠,1
262,過往,1
263,那種,1
264,不要,1
265,那麼,1
266,高,1
267,剛好,1
268,暴雨,1
269,襲,1
270,捲,1
271,部份,1
272,良好,1
273,201620,1
274,人開,1
275,槓桿,1
276,貸好,1
277,貸滿,1
278,房,1
279,一部,1
280,份連,1
281,首付,1
282,湊,1
283,貸,1
284,借,1
285,還不起,1
286,急,1
287,著,1
288,甩,1
289,賣寧願,1
290,真,1
291,線,1
292,買不起,1
